episode 1: 0 total reward, 1001 steps, 0 epochs 
episode 363: 2943.8302494959025 total reward, 101 steps, 31952 epochs 
episode 364: 1069.3688870829428 total reward, 101 steps, 32053 epochs 
episode 365: 1454.8257744939272 total reward, 101 steps, 32154 epochs 
episode 366: 1303.5160836158216 total reward, 101 steps, 32255 epochs 
episode 367: 1505.4155283009597 total reward, 101 steps, 32356 epochs 
episode 368: 2093.4770947956 total reward, 101 steps, 32457 epochs 
episode 369: 1627.1005430017692 total reward, 101 steps, 32558 epochs 
episode 370: 2815.7580862486434 total reward, 101 steps, 32659 epochs 
episode 371: 948.7179690785796 total reward, 101 steps, 32760 epochs 
episode 372: 2712.548307687543 total reward, 101 steps, 32861 epochs 
episode 373: 1599.3551725431084 total reward, 101 steps, 32962 epochs 
episode 374: 827.5856944746159 total reward, 101 steps, 33063 epochs 
episode 375: 2540.329377506331 total reward, 101 steps, 33164 epochs 
episode 376: 2976.7578212716517 total reward, 101 steps, 33265 epochs 
episode 377: 2527.1432809736557 total reward, 101 steps, 33366 epochs 
episode 378: 2995.1166509568975 total reward, 101 steps, 33467 epochs 
episode 379: 1138.0195998708768 total reward, 101 steps, 33568 epochs 
episode 380: 3133.1062521245744 total reward, 101 steps, 33669 epochs 
episode 381: 1381.6205254054291 total reward, 101 steps, 33770 epochs 
episode 382: 2652.984687970249 total reward, 101 steps, 33871 epochs 
episode 383: 640.2053565218979 total reward, 76 steps, 33947 epochs 
episode 384: 2472.9002502167673 total reward, 101 steps, 34048 epochs 
episode 385: 2835.5975854252383 total reward, 101 steps, 34149 epochs 
episode 386: 1321.9030958570886 total reward, 101 steps, 34250 epochs 
episode 387: 946.4832621577276 total reward, 101 steps, 34351 epochs 
episode 388: 1075.945370779206 total reward, 101 steps, 34452 epochs 
episode 389: 892.9667080932676 total reward, 98 steps, 34550 epochs 
episode 390: 1362.2169659862927 total reward, 101 steps, 34651 epochs 
episode 391: 1388.5952530807817 total reward, 101 steps, 34752 epochs 
episode 392: 980.4666882690756 total reward, 98 steps, 34850 epochs 
episode 393: 1290.4111157705115 total reward, 101 steps, 34951 epochs 
episode 394: 573.627042868198 total reward, 95 steps, 35046 epochs 
episode 395: 1404.6149824244035 total reward, 101 steps, 35147 epochs 
episode 396: 1138.2019648963706 total reward, 101 steps, 35248 epochs 
episode 397: 554.6928260525377 total reward, 99 steps, 35347 epochs 
episode 398: 1363.7890250811001 total reward, 101 steps, 35448 epochs 
episode 399: 1778.867084448537 total reward, 101 steps, 35549 epochs 
episode 400: 3342.0995856871223 total reward, 101 steps, 35650 epochs 
episode 401: 4076.7897382258516 total reward, 101 steps, 35751 epochs 
episode 402: 3574.7612860608824 total reward, 101 steps, 35852 epochs 
episode 403: 3447.470549658043 total reward, 101 steps, 35953 epochs 
episode 404: 3592.1121422039537 total reward, 101 steps, 36054 epochs 
episode 405: 2123.335825719631 total reward, 101 steps, 36155 epochs 
episode 406: 1200.8015693957248 total reward, 101 steps, 36256 epochs 
episode 407: 3533.284714287274 total reward, 101 steps, 36357 epochs 
episode 408: 2754.012685749022 total reward, 101 steps, 36458 epochs 
episode 409: 4041.1396524965867 total reward, 101 steps, 36559 epochs 
episode 410: 1910.284285553025 total reward, 101 steps, 36660 epochs 
episode 411: 1730.561613431205 total reward, 101 steps, 36761 epochs 
episode 412: 2541.7507039576444 total reward, 101 steps, 36862 epochs 
episode 413: 2296.9088627066817 total reward, 101 steps, 36963 epochs 
episode 414: 124.0792412952049 total reward, 82 steps, 37045 epochs 
episode 415: 32351.64257083991 total reward, 49 steps, 37094 epochs 
episode 416: 3881.6124108551776 total reward, 101 steps, 37195 epochs 
episode 417: 3334.4496962026496 total reward, 101 steps, 37296 epochs 
