episode 37112: -27165.037773882446 total reward, 77 steps, 19574 epochs 
episode 37113: 39916.380477729894 total reward, 47 steps, 19621 epochs 
episode 37114: -1135.9424256878024 total reward, 87 steps, 19708 epochs 
episode 37115: -34306.36158015288 total reward, 73 steps, 19781 epochs 
episode 37116: -14391.283899356087 total reward, 76 steps, 19857 epochs 
episode 37117: 31966.496634748346 total reward, 7 steps, 19864 epochs 
episode 37118: 36434.09446168059 total reward, 41 steps, 19905 epochs 
episode 37119: -5572.020646241173 total reward, 44 steps, 19949 epochs 
episode 37120: -35735.337627281595 total reward, 68 steps, 20017 epochs 
episode 37121: 36756.23874458034 total reward, 24 steps, 20041 epochs 
episode 37122: -8775.754461532213 total reward, 21 steps, 20062 epochs 
episode 37123: 40838.101239333446 total reward, 25 steps, 20087 epochs 
episode 37124: 38715.294298881316 total reward, 43 steps, 20130 epochs 
episode 37125: -34930.3592461585 total reward, 69 steps, 20199 epochs 
episode 37126: 34888.64996622407 total reward, 21 steps, 20220 epochs 
episode 37127: 33879.82941376287 total reward, 11 steps, 20231 epochs 
episode 37128: -9984.406245244032 total reward, 26 steps, 20257 epochs 
episode 37129: -9700.383352838446 total reward, 30 steps, 20287 epochs 
episode 37130: -10731.278587432262 total reward, 39 steps, 20326 epochs 
episode 37131: 37099.84583516422 total reward, 32 steps, 20358 epochs 
episode 37132: -25917.182952445157 total reward, 84 steps, 20442 epochs 
episode 37133: 3220.005269599308 total reward, 92 steps, 20534 epochs 
episode 37134: -35879.321496653756 total reward, 71 steps, 20605 epochs 
episode 37135: -9114.57818384397 total reward, 27 steps, 20632 epochs 
episode 37136: 44883.883796652895 total reward, 45 steps, 20677 epochs 
episode 37137: -38424.4061686697 total reward, 80 steps, 20757 epochs 
episode 37138: -26786.88161661483 total reward, 72 steps, 20829 epochs 
episode 37139: -25003.6916740459 total reward, 94 steps, 20923 epochs 
episode 37140: -12197.35999671385 total reward, 53 steps, 20976 epochs 
episode 37141: -10006.917900742303 total reward, 27 steps, 21003 epochs 
episode 37142: -14885.538961372522 total reward, 70 steps, 21073 epochs 
